Mes,año2017,año2018,año2019,año2020,año2021
Enero,134151,165197,160963,172554,43431
Febrero,150633,179985,182275,203114,39264
Marzo ,143093,191521,183636,84808,56833
Abril ,142095,154117,156779,2,42981
Mayo,124155,147973,146307,1,39317
Junio,138168,156218,152845,11,61019
Julio ,168829,177293,186422,5,87313
Agosto,161281,179439,182376,15,94048
Septiembre,135692,142507,140451,2898,92579
Octubre,131919,138349,140843,22302,
Noviembre,149968,168282,159824,38266,
Diciembre,198404,217358,205927,74816,
